month,keyword,papers,full_text,words,references,authors,words_per_paper,authors_per_paper
2025-06,__all__,1,0,67,0,4,67,4.0
2025-06,nanoliposome delivery system cosmetics,1,0,67,0,4,67,4.0
2025-08,__all__,2,2,33406,780,18,16703,9.0
2025-08,ceramide lipid barrier repair,1,1,15216,361,8,15216,8.0
2025-08,nanocarrier delivery epidermal penetration,1,1,18190,419,10,18190,10.0
2025-09,__all__,2,0,417,0,11,208,5.5
2025-09,nanoliposome delivery system cosmetics,1,0,185,0,5,185,5.0
2025-09,niacinamide skin barrier,1,0,232,0,6,232,6.0
2025-10,__all__,1,1,8079,154,2,8079,2.0
2025-10,ceramide lipid barrier restoration,1,1,8079,154,2,8079,2.0
2025-12,__all__,2,2,21706,354,15,10853,7.5
2025-12,ceramide delivery formulation stability,2,2,21706,354,15,10853,7.5
2026-01,__all__,2,2,16186,262,12,8093,6.0
2026-01,ceramide lipid matrix delivery,1,1,8304,188,7,8304,7.0
2026-01,niacinamide skin barrier,1,1,7882,74,5,7882,5.0
2026-02,__all__,1,1,11274,240,4,11274,4.0
2026-02,surfactant skin microbiome disruption,1,1,11274,240,4,11274,4.0
2026-03,__all__,1,1,11809,97,7,11809,7.0
2026-03,nanocarrier delivery epidermal penetration,1,1,11809,97,7,11809,7.0
2026-04,__all__,1,1,10490,178,5,10490,5.0
2026-04,surfactant skin microbiome disruption,1,1,10490,178,5,10490,5.0
2026-05,__all__,2,2,13474,205,18,6737,9.0
2026-05,ceramide lipid barrier restoration,1,1,8238,161,9,8238,9.0
2026-05,topical retinoid delivery systems,1,1,5236,44,9,5236,9.0
2026-06,__all__,9,7,88495,956,52,9832,5.78
2026-06,ceramide delivery formulation stability,2,2,42347,388,22,21173,11.0
2026-06,ceramide lipid barrier repair,1,1,8012,106,2,8012,2.0
2026-06,cosmetic preservative microbiome impact,1,0,259,0,2,259,2.0
2026-06,niacinamide skin barrier,1,1,13303,232,4,13303,4.0
2026-06,surfactant skin barrier disruption,1,1,7910,60,6,7910,6.0
2026-06,surfactant skin barrier irritation,1,1,4451,29,7,4451,7.0
2026-06,surfactant skin microbiome disruption,1,1,11938,141,7,11938,7.0
2026-06,topical retinoid delivery systems,1,0,275,0,2,275,2.0
2026-07,__all__,15,15,136731,2229,168,9115,11.2
2026-07,ceramide lipid barrier repair,2,2,24598,501,17,12299,8.5
2026-07,cosmetic preservative microbiome impact,1,1,5456,98,29,5456,29.0
2026-07,nanocarrier delivery epidermal penetration,1,1,8205,58,13,8205,13.0
2026-07,nanoliposome delivery system cosmetics,4,4,43901,513,29,10975,7.25
2026-07,niacinamide skin barrier,2,2,16045,382,11,8022,5.5
2026-07,surfactant skin barrier irritation,2,2,20407,392,27,10203,13.5
2026-07,surfactant skin microbiome disruption,1,1,5769,57,7,5769,7.0
2026-07,topical retinoid delivery,1,1,5267,27,6,5267,6.0
2026-07,topical retinoid delivery systems,1,1,7083,201,29,7083,29.0
2026-08,__all__,89,87,824695,10981,521,9266,5.85
2026-08,ceramide delivery formulation stability,3,3,23822,413,19,7940,6.33
2026-08,ceramide lipid barrier repair,9,8,66671,871,52,7407,5.78
2026-08,ceramide lipid barrier restoration,1,1,6622,43,4,6622,4.0
2026-08,cosmetic emulsion stability,1,1,3924,34,13,3924,13.0
2026-08,cosmetic formulation microbiome modulation,3,3,18827,208,23,6275,7.67
2026-08,cosmetic formulation microbiome stability,1,1,4752,33,7,4752,7.0
2026-08,cosmetic formulation rheology,17,17,182576,2365,107,10739,6.29
2026-08,cosmetic preservative microbiome impact,3,2,12727,199,8,4242,2.67
2026-08,nanocarrier delivery epidermal penetration,5,5,53434,927,17,10686,3.4
2026-08,nanoliposome delivery system cosmetics,9,9,83033,1098,60,9225,6.67
2026-08,niacinamide skin barrier,5,5,38478,606,36,7695,7.2
2026-08,skin microbiome cosmetic,9,9,86012,537,42,9556,4.67
2026-08,surfactant skin barrier disruption,10,10,139862,2110,68,13986,6.8
2026-08,surfactant skin barrier integrity,1,1,11081,114,9,11081,9.0
2026-08,surfactant skin barrier irritation,1,1,15601,177,4,15601,4.0
2026-08,surfactant skin microbiome disruption,3,3,17918,406,14,5972,4.67
2026-08,topical retinoid delivery,2,2,5721,64,5,2860,2.5
2026-08,topical retinoid delivery systems,6,6,53634,776,33,8939,5.5
2026-09,__all__,60,57,619279,8539,459,10321,7.65
2026-09,ceramide delivery formulation stability,4,4,61404,942,33,15351,8.25
2026-09,ceramide lipid barrier repair,6,5,47798,818,40,7966,6.67
2026-09,ceramide lipid barrier restoration,1,1,8746,81,7,8746,7.0
2026-09,ceramide lipid matrix delivery,1,1,5873,46,9,5873,9.0
2026-09,cosmetic emulsion stability,3,2,20300,236,17,6766,5.67
2026-09,cosmetic formulation microbiome stability,2,2,22024,170,19,11012,9.5
2026-09,cosmetic preservative microbiome impact,8,8,71937,747,55,8992,6.88
2026-09,nanocarrier delivery epidermal penetration,5,5,44874,749,70,8974,14.0
2026-09,niacinamide skin barrier,5,5,32508,384,41,6501,8.2
2026-09,skin microbiome cosmetic,4,4,36910,354,25,9227,6.25
2026-09,surfactant skin barrier disruption,7,7,97915,1693,43,13987,6.14
2026-09,surfactant skin barrier integrity,2,1,12521,223,10,6260,5.0
2026-09,surfactant skin barrier irritation,4,4,36067,654,37,9016,9.25
2026-09,surfactant skin microbiome disruption,3,3,69273,763,16,23091,5.33
2026-09,topical retinoid delivery systems,5,5,51129,679,37,10225,7.4
